timestamp,molecule_name,n_atoms,n_electrons,method,method_params,hardware,n_cores,wall_time_sec,memory_peak_mb,success,convergence_steps,final_energy,quality_rating,notes
2025-09-13T22:42:39.016361,tmp_C2H4_dftb,6,16,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,1.00,256.9,True,,,4,Successful dftb relaxation
2025-09-13T22:45:25.506312,tmp_C2H4_xtb,6,16,relax-xtb,"{'backend': 'xtb', 'xtb_method': 'GFN2-xTB', 'xtb_backend': 'fixed'}",macOS Apple M1,4,0.01,99.2,True,,,2,xtb relaxation completed with issues
2025-09-13T22:47:55.961906,tmp_C2H4_dftb,6,16,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,0.83,257.0,True,,,4,Successful dftb relaxation
2025-09-13T22:47:56.962653,tmp_C2H4_xtb,6,16,relax-xtb,"{'backend': 'xtb', 'xtb_method': 'GFN2-xTB', 'xtb_backend': 'fixed'}",macOS Apple M1,4,0.00,99.0,True,,,2,xtb relaxation completed with issues
2025-09-13T22:48:46.132482,tmp_C2H4_dftb,6,16,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,0.90,256.9,True,,,4,Successful dftb relaxation
2025-09-13T22:49:00.757098,tmp_C2H4_dftb,6,16,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,0.81,255.8,True,,,4,Successful dftb relaxation
2025-09-13T22:49:43.313000,tmp_C2H4_dftb,6,16,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,0.97,256.9,True,,,4,Successful dftb relaxation
2025-09-13T22:49:45.120798,tmp_CH3CH2_dftb,7,17,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,0.84,256.2,True,,,4,Successful dftb relaxation
2025-09-13T22:49:47.010354,tmp_CH3CH2CH2_dftb,10,25,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,0.93,256.5,True,,,4,Successful dftb relaxation
2025-09-13T23:47:05.785577,tmp_C2H4_dftb,6,16,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,0.96,257.2,True,,,4,Successful dftb relaxation
2025-09-13T23:47:07.878925,tmp_CH3CH2_dftb,7,17,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,0.87,256.0,True,,,4,Successful dftb relaxation
2025-09-13T23:47:09.748542,tmp_CH3CH2CH2_dftb,10,25,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,0.92,257.0,True,,,4,Successful dftb relaxation
2025-09-17T23:42:14.435949,2025-08-23_h2o,3,10,hessian-dftb,"{'backend': 'dftb', 'calculation_type': 'hessian'}",macOS Apple M1,4,0.03,104.0,True,,,4,Successful dftb hessian calculation
2025-09-17T23:43:38.919774,2025-08-23_h2o,3,10,relax-dftb,{'backend': 'dftb'},macOS Apple M1,4,1.72,268.7,True,,,4,Successful dftb relaxation
2025-09-17T23:43:44.266961,2025-08-23_h2o,3,10,hessian-dftb,"{'backend': 'dftb', 'calculation_type': 'hessian'}",macOS Apple M1,4,0.04,103.6,True,,,4,Successful dftb hessian calculation
2025-09-17T23:52:29.082935,2025-08-23_h2o,3,10,hessian-dftb,"{'backend': 'dftb', 'calculation_type': 'hessian'}",macOS Apple M1,4,0.07,108.0,True,,,4,Successful dftb hessian calculation
2025-09-17T23:52:43.404437,2025-08-23_h2o,3,10,hessian-dftb,"{'backend': 'dftb', 'calculation_type': 'hessian'}",macOS Apple M1,4,0.07,108.6,True,,,4,Successful dftb hessian calculation
2025-09-17T23:53:45.885290,2025-08-23_h2o,3,10,hessian-dftb,"{'backend': 'dftb', 'calculation_type': 'hessian'}",macOS Apple M1,4,0.04,109.1,True,,,4,Successful dftb hessian calculation
2025-09-17T23:55:50.685092,2025-08-23_h2o,3,10,hessian-dftb,"{'backend': 'dftb', 'calculation_type': 'hessian'}",macOS Apple M1,4,0.06,108.0,True,,,4,Successful dftb hessian calculation
2025-09-17T23:57:39.829390,2025-08-23_h2o,3,10,hessian-xtb,"{'backend': 'xtb', 'calculation_type': 'hessian', 'xtb_method': 'GFN2-xTB', 'xtb_backend': 'fixed'}",macOS Apple M1,4,0.00,103.5,True,,,4,Successful xtb hessian calculation
2025-09-17T23:58:51.498832,h2o_relaxed,3,10,xtb-hessian-fixed,"{'method': 'GFN2-xTB', 'backend': 'fixed', 'calculation_type': 'hessian'}",macOS Apple M1,1,1.25,104.6,True,,,4,Successful Hessian calculation
2025-09-17T23:58:51.499348,2025-08-23_h2o,3,10,hessian-xtb,"{'backend': 'xtb', 'calculation_type': 'hessian', 'xtb_method': 'GFN2-xTB', 'xtb_backend': 'fixed'}",macOS Apple M1,4,1.26,104.6,True,,,4,Successful xtb hessian calculation
2025-09-18T00:00:23.710714,h2o_relaxed,3,10,xtb-hessian-fixed,"{'method': 'GFN2-xTB', 'backend': 'fixed', 'calculation_type': 'hessian'}",macOS Apple M1,1,0.03,108.3,True,,,4,Successful Hessian calculation
2025-09-18T00:00:23.711133,2025-08-23_h2o,3,10,hessian-xtb,"{'backend': 'xtb', 'calculation_type': 'hessian', 'xtb_method': 'GFN2-xTB', 'xtb_backend': 'fixed'}",macOS Apple M1,4,0.04,108.3,True,,,4,Successful xtb hessian calculation
2025-09-18T00:00:54.552185,h2o_relaxed,3,10,xtb-hessian-fixed,"{'method': 'GFN2-xTB', 'backend': 'fixed', 'calculation_type': 'hessian'}",macOS Apple M1,1,0.03,109.0,True,,,4,Successful Hessian calculation
2025-09-18T00:00:54.552677,2025-08-23_h2o,3,10,hessian-xtb,"{'backend': 'xtb', 'calculation_type': 'hessian', 'xtb_method': 'GFN2-xTB', 'xtb_backend': 'fixed'}",macOS Apple M1,4,0.03,109.0,True,,,4,Successful xtb hessian calculation
2025-09-18T00:01:12.653365,h2o_relaxed,3,10,xtb-hessian-fixed,"{'method': 'GFN2-xTB', 'backend': 'fixed', 'calculation_type': 'hessian'}",macOS Apple M1,1,0.02,108.2,True,,,4,Successful Hessian calculation
2025-09-18T00:01:12.653644,2025-08-23_h2o,3,10,hessian-xtb,"{'backend': 'xtb', 'calculation_type': 'hessian', 'xtb_method': 'GFN2-xTB', 'xtb_backend': 'fixed'}",macOS Apple M1,4,0.03,108.2,True,,,4,Successful xtb hessian calculation
2025-09-18T00:20:43.553469,2025-08-23_h2o,,,hessian-dftb,"{'backend': 'dftb', 'calculation_type': 'hessian'}",macOS Apple M1,4,0.01,108.1,False,,,1,dftb hessian calculation failed: Project folder data/2025-08-23_h2o does not exist
2025-09-18T00:21:07.839720,test_thermo_h2o,,,hessian-dftb,"{'backend': 'dftb', 'calculation_type': 'hessian'}",macOS Apple M1,4,0.30,104.5,True,,,4,Successful dftb hessian calculation
2025-09-18T00:21:46.993904,test_thermo_h2o,,,hessian-dftb,"{'backend': 'dftb', 'calculation_type': 'hessian'}",macOS Apple M1,4,0.09,108.8,True,,,4,Successful dftb hessian calculation
2025-09-18T00:22:13.493631,test_thermo_h2o,,,hessian-dftb,"{'backend': 'dftb', 'calculation_type': 'hessian'}",macOS Apple M1,4,0.09,108.7,True,,,4,Successful dftb hessian calculation
